round,i,j,b_0,b_1
2,3,5,0.49500016666001023,0.5049998333399898
2,4,0,0.5,0.5
2,4,1,0.5,0.5
2,4,2,0.5,0.5
2,4,3,0.49500016666001023,0.5049998333399898
2,4,5,0.5,0.5
2,5,0,0.5,0.5
2,5,1,0.5,0.5
2,5,2,0.5,0.5
2,5,3,0.5,0.5
2,5,4,0.5,0.5
3,0,1,0.5,0.5
3,0,2,0.5,0.5
3,0,3,0.49500016666001023,0.5049998333399898
3,0,4,0.5,0.5
3,0,5,0.5,0.5
3,1,0,0.5,0.5
3,1,2,0.5,0.5
3,1,3,0.5,0.5
3,1,4,0.5,0.5
3,1,5,0.5,0.5
3,2,0,0.5,0.5
3,2,1,0.5,0.5
3,2,3,0.5,0.5
3,2,4,0.49500016666001023,0.5049998333399898
3,2,5,0.5,0.5
3,3,0,0.5,0.5
3,3,1,0.5,0.5
3,3,2,0.5,0.5
3,3,4,0.5,0.5
3,3,5,0.49500016666001023,0.5049998333399898
3,4,0,0.5,0.5
3,4,1,0.5,0.5
3,4,2,0.5,0.5
3,4,3,0.49500016666001023,0.5049998333399898
3,4,5,0.5,0.5
3,5,0,0.5,0.5
3,5,1,0.5,0.5
3,5,2,0.5,0.5
3,5,3,0.5,0.5
3,5,4,0.5,0.5
4,0,1,0.5,0.5
4,0,2,0.5,0.5
4,0,3,0.49500016666001023,0.5049998333399898
4,0,4,0.5,0.5
4,0,5,0.5,0.5
4,1,0,0.5,0.5
4,1,2,0.5,0.5
4,1,3,0.5,0.5
4,1,4,0.5,0.5
4,1,5,0.5,0.5
4,2,0,0.5,0.5
4,2,1,0.5,0.5
4,2,3,0.49500016666001023,0.5049998333399898
4,2,4,0.49500016666001023,0.5049998333399898
4,2,5,0.5,0.5
4,3,0,0.5,0.5
4,3,1,0.5,0.5
4,3,2,0.5,0.5
4,3,4,0.5,0.5
4,3,5,0.49500016666001023,0.5049998333399898
4,4,0,0.5,0.5
4,4,1,0.5,0.5
4,4,2,0.5,0.5
4,4,3,0.49500016666001023,0.5049998333399898
4,4,5,0.5,0.5
4,5,0,0.5,0.5
4,5,1,0.5,0.5
4,5,2,0.5,0.5
4,5,3,0.5,0.5
4,5,4,0.5,0.5
5,0,1,0.5,0.5
5,0,2,0.5,0.5
5,0,3,0.49500016666001023,0.5049998333399898
5,0,4,0.5,0.5
5,0,5,0.5,0.5
5,1,0,0.5,0.5
5,1,2,0.5,0.5
5,1,3,0.5,0.5
5,1,4,0.5,0.5
5,1,5,0.5,0.5
5,2,0,0.5,0.5
5,2,1,0.5,0.5
5,2,3,0.49500016666001023,0.5049998333399898
5,2,4,0.49500016666001023,0.5049998333399898
5,2,5,0.5,0.5
5,3,0,0.5,0.5
5,3,1,0.5,0.5
5,3,2,0.5,0.5
5,3,4,0.5,0.5
5,3,5,0.49500016666001023,0.5049998333399898
5,4,0,0.5,0.5
5,4,1,0.5,0.5
5,4,2,0.5,0.5
5,4,3,0.49500016666001023,0.5049998333399898
5,4,5,0.5,0.5
5,5,0,0.4650628487848383,0.5349371512151617
5,5,1,0.5,0.5
5,5,2,0.5,0.5
5,5,3,0.5,0.5
5,5,4,0.5,0.5
6,0,1,0.5,0.5
6,0,2,0.5,0.5
6,0,3,0.4950044883794093,0.5049955116205906
6,0,4,0.5,0.5
6,0,5,0.5,0.5
6,1,0,0.5,0.5
6,1,2,0.5,0.5
6,1,3,0.5,0.5
6,1,4,0.5,0.5
6,1,5,0.5,0.5
6,2,0,0.5,0.5
6,2,1,0.5,0.5
6,2,3,0.49500016666001023,0.5049998333399898
6,2,4,0.49500016666001023,0.5049998333399898
6,2,5,0.5,0.5
6,3,0,0.5,0.5
6,3,1,0.5,0.5
6,3,2,0.5,0.5
6,3,4,0.5,0.5
6,3,5,0.49500016666001023,0.5049998333399898
6,4,0,0.5,0.5
6,4,1,0.5,0.5
6,4,2,0.5,0.5
6,4,3,0.49500016666001023,0.5049998333399898
6,4,5,0.5,0.5
6,5,0,0.4650628487848383,0.5349371512151617
6,5,1,0.5,0.5
6,5,2,0.5,0.5
6,5,3,0.5,0.5
6,5,4,0.5,0.5
7,0,1,0.5,0.5
7,0,2,0.5,0.5
7,0,3,0.4950044883794093,0.5049955116205906
7,0,4,0.5,0.5
7,0,5,0.5,0.5
7,1,0,0.5,0.5
7,1,2,0.5,0.5
7,1,3,0.5,0.5
7,1,4,0.5,0.5
7,1,5,0.5,0.5
7,2,0,0.5,0.5
7,2,1,0.5,0.5
7,2,3,0.49500016666001023,0.5049998333399898
7,2,4,0.49500016666001023,0.5049998333399898
7,2,5,0.5,0.5
7,3,0,0.5,0.5
7,3,1,0.5,0.5
7,3,2,0.5,0.5
7,3,4,0.5,0.5
7,3,5,0.49500016666001023,0.5049998333399898
7,4,0,0.4650628487848383,0.5349371512151617
7,4,1,0.5,0.5
7,4,2,0.5,0.5
7,4,3,0.49500016666001023,0.5049998333399898
7,4,5,0.5,0.5
7,5,0,0.4650628487848383,0.5349371512151617
7,5,1,0.5,0.5
7,5,2,0.5,0.5
7,5,3,0.5,0.5
7,5,4,0.5,0.5
8,0,1,0.5,0.5
8,0,2,0.5,0.5
8,0,3,0.4950044883794093,0.5049955116205906
8,0,4,0.5,0.5
8,0,5,0.5,0.5
8,1,0,0.5,0.5
8,1,2,0.4650628487848383,0.5349371512151617
8,1,3,0.5,0.5
8,1,4,0.5,0.5
8,1,5,0.5,0.5
8,2,0,0.5,0.5
8,2,1,0.5,0.5
8,2,3,0.49500016666001023,0.5049998333399898
8,2,4,0.49500016666001023,0.5049998333399898
8,2,5,0.5,0.5
8,3,0,0.5,0.5
8,3,1,0.5,0.5
8,3,2,0.5,0.5
8,3,4,0.5,0.5
8,3,5,0.49500016666001023,0.5049998333399898
8,4,0,0.4650628487848383,0.5349371512151617
8,4,1,0.5,0.5
8,4,2,0.5,0.5
8,4,3,0.49500016666001023,0.5049998333399898
8,4,5,0.5,0.5
8,5,0,0.4650628487848383,0.5349371512151617
8,5,1,0.5,0.5
8,5,2,0.5,0.5
8,5,3,0.5,0.5
8,5,4,0.5,0.5
9,0,1,0.5,0.5
9,0,2,0.5,0.5
9,0,3,0.4950088100995549,0.5049911899004451
9,0,4,0.5,0.5
9,0,5,0.5,0.5
9,1,0,0.5,0.5
9,1,2,0.4650628487848383,0.5349371512151617
9,1,3,0.5,0.5
9,1,4,0.5,0.5
9,1,5,0.5,0.5
9,2,0,0.5,0.5
9,2,1,0.5,0.5
9,2,3,0.49500016666001023,0.5049998333399898
9,2,4,0.49500016666001023,0.5049998333399898
9,2,5,0.5,0.5
9,3,0,0.5,0.5
9,3,1,0.5,0.5
9,3,2,0.5,0.5
9,3,4,0.5,0.5
9,3,5,0.49500016666001023,0.5049998333399898
9,4,0,0.4650628487848383,0.5349371512151617
9,4,1,0.5,0.5
9,4,2,0.5,0.5
9,4,3,0.49500016666001023,0.5049998333399898
9,4,5,0.5,0.5
9,5,0,0.4650628487848383,0.5349371512151617
9,5,1,0.5,0.5
9,5,2,0.5,0.5
9,5,3,0.5,0.5
9,5,4,0.5,0.5
10,0,1,0.5,0.5
10,0,2,0.5,0.5
10,0,3,0.4950088100995549,0.5049911899004451
10,0,4,0.5,0.5
10,0,5,0.5,0.5
10,1,0,0.5,0.5
10,1,2,0.4650628487848383,0.5349371512151617
10,1,3,0.5,0.5
10,1,4,0.5,0.5
10,1,5,0.5,0.5
10,2,0,0.5,0.5
10,2,1,0.5,0.5
10,2,3,0.49500016666001023,0.5049998333399898
10,2,4,0.49500016666001023,0.5049998333399898
10,2,5,0.5,0.5
10,3,0,0.4664482599355229,0.5335517400644771
10,3,1,0.5,0.5
10,3,2,0.5,0.5
10,3,4,0.5,0.5
10,3,5,0.49500016666001023,0.5049998333399898
10,4,0,0.4650628487848383,0.5349371512151617
10,4,1,0.5,0.5
10,4,2,0.5,0.5
10,4,3,0.49500016666001023,0.5049998333399898
10,4,5,0.5,0.5
10,5,0,0.4650628487848383,0.5349371512151617
10,5,1,0.5,0.5
10,5,2,0.5,0.5
10,5,3,0.5,0.5
10,5,4,0.5,0.5
11,0,1,0.5,0.5
11,0,2,0.5,0.5
11,0,3,0.4950088100995549,0.5049911899004451
11,0,4,0.5,0.5
11,0,5,0.5,0.5
11,1,0,0.5,0.5
11,1,2,0.4650628487848383,0.5349371512151617
11,1,3,0.5,0.5
11,1,4,0.5,0.5
11,1,5,0.5,0.5
11,2,0,0.5,0.5
11,2,1,0.5,0.5
11,2,3,0.49500016666001023,0.5049998333399898
11,2,4,0.49500016666001023,0.5049998333399898
11,2,5,0.5,0.5
11,3,0,0.4664482599355229,0.5335517400644771
11,3,1,0.5,0.5
11,3,2,0.5,0.5
11,3,4,0.5,0.5
11,3,5,0.49500016666001023,0.5049998333399898
11,4,0,0.4650628487848383,0.5349371512151617
11,4,1,0.5,0.5
11,4,2,0.5,0.5
11,4,3,0.49500016666001023,0.5049998333399898
11,4,5,0.5,0.5
11,5,0,0.4650628487848383,0.5349371512151617
11,5,1,0.5,0.5
11,5,2,0.5,0.5
11,5,3,0.5,0.5
11,5,4,0.5013521890286166,0.4986478109713835
12,0,1,0.5,0.5
12,0,2,0.5,0.5
12,0,3,0.4950088100995549,0.5049911899004451
12,0,4,0.5,0.5
12,0,5,0.5,0.5
12,1,0,0.5,0.5
12,1,2,0.4650628487848383,0.5349371512151617
12,1,3,0.5,0.5
12,1,4,0.5,0.5
12,1,5,0.5,0.5
12,2,0,0.5,0.5
12,2,1,0.5,0.5
12,2,3,0.49500016666001023,0.5049998333399898
12,2,4,0.49500016666001023,0.5049998333399898
12,2,5,0.5,0.5
12,3,0,0.4664482599355229,0.5335517400644771
12,3,1,0.5,0.5
12,3,2,0.5,0.5
12,3,4,0.5,0.5
12,3,5,0.49500016666001023,0.5049998333399898
12,4,0,0.4650628487848383,0.5349371512151617
12,4,1,0.5,0.5
12,4,2,0.4664482599355229,0.5335517400644771
12,4,3,0.49500016666001023,0.5049998333399898
12,4,5,0.5,0.5
12,5,0,0.4650628487848383,0.5349371512151617
12,5,1,0.5,0.5
12,5,2,0.5,0.5
12,5,3,0.5,0.5
12,5,4,0.5013521890286166,0.4986478109713835
13,0,1,0.5,0.5
13,0,2,0.5,0.5
13,0,3,0.4950088100995549,0.5049911899004451
13,0,4,0.5,0.5
13,0,5,0.5,0.5
13,1,0,0.5,0.5
13,1,2,0.4650628487848383,0.5349371512151617
13,1,3,0.5,0.5
13,1,4,0.5,0.5
13,1,5,0.5,0.5
13,2,0,0.5,0.5
13,2,1,0.5,0.5
13,2,3,0.49500016666001023,0.5049998333399898
13,2,4,0.49500016666001023,0.5049998333399898
13,2,5,0.5,0.5
13,3,0,0.4664482599355229,0.5335517400644771
13,3,1,0.5,0.5
13,3,2,0.5,0.5
13,3,4,0.5,0.5
13,3,5,0.49500016666001023,0.5049998333399898
13,4,0,0.4650628487848383,0.5349371512151617
13,4,1,0.5,0.5
13,4,2,0.4331973241077594,0.5668026758922405
13,4,3,0.49500016666001023,0.5049998333399898
13,4,5,0.5,0.5
13,5,0,0.4650628487848383,0.5349371512151617
13,5,1,0.5,0.5
13,5,2,0.5,0.5
13,5,3,0.5,0.5
13,5,4,0.5013521890286166,0.4986478109713835
14,0,1,0.5,0.5
14,0,2,0.5,0.5
14,0,3,0.4950088100995549,0.5049911899004451
14,0,4,0.5,0.5
14,0,5,0.5,0.5
14,1,0,0.5,0.5
14,1,2,0.4650628487848383,0.5349371512151617
14,1,3,0.5,0.5
14,1,4,0.5,0.5
14,1,5,0.5,0.5
14,2,0,0.5,0.5
14,2,1,0.5,0.5
14,2,3,0.49500016666001023,0.5049998333399898
14,2,4,0.49500016666001023,0.5049998333399898
14,2,5,0.5,0.5
14,3,0,0.4664482599355229,0.5335517400644771
14,3,1,0.5,0.5
14,3,2,0.5,0.5
14,3,4,0.5,0.5
14,3,5,0.49500016666001023,0.5049998333399898
14,4,0,0.4650628487848383,0.5349371512151617
14,4,1,0.4664482599355229,0.5335517400644771
14,4,2,0.4331973241077594,0.5668026758922405
14,4,3,0.49500016666001023,0.5049998333399898
14,4,5,0.5,0.5
14,5,0,0.4650628487848383,0.5349371512151617
14,5,1,0.5,0.5
14,5,2,0.5,0.5
14,5,3,0.5,0.5
14,5,4,0.5013521890286166,0.4986478109713835
15,0,1,0.5,0.5
15,0,2,0.5,0.5
15,0,3,0.4950088100995549,0.5049911899004451
15,0,4,0.5,0.5
15,0,5,0.5,0.5
15,1,0,0.5,0.5
15,1,2,0.4650628487848383,0.5349371512151617
15,1,3,0.5,0.5
15,1,4,0.5,0.5
15,1,5,0.5,0.5
15,2,0,0.5,0.5
15,2,1,0.5,0.5
15,2,3,0.49500016666001023,0.5049998333399898
15,2,4,0.49500016666001023,0.5049998333399898
15,2,5,0.5,0.5
15,3,0,0.4664482599355229,0.5335517400644771
15,3,1,0.5,0.5
15,3,2,0.5,0.5
15,3,4,0.5,0.5
15,3,5,0.49500016666001023,0.5049998333399898
15,4,0,0.4650628487848383,0.5349371512151617
15,4,1,0.4664482599355229,0.5335517400644771
15,4,2,0.4331973241077594,0.5668026758922405
15,4,3,0.5550425014499747,0.44495749855002525
15,4,5,0.5,0.5
15,5,0,0.4650628487848383,0.5349371512151617
15,5,1,0.5,0.5
15,5,2,0.5,0.5
15,5,3,0.5,0.5
15,5,4,0.5013521890286166,0.4986478109713835
16,0,1,0.5,0.5
16,0,2,0.5,0.5
16,0,3,0.4950088100995549,0.5049911899004451
16,0,4,0.5,0.5
16,0,5,0.5,0.5
16,1,0,0.5,0.5
16,1,2,0.4650628487848383,0.5349371512151617
16,1,3,0.5,0.5
16,1,4,0.5,0.5
16,1,5,0.5,0.5
16,2,0,0.5,0.5
16,2,1,0.5,0.5
16,2,3,0.49500016666001023,0.5049998333399898
16,2,4,0.49500016666001023,0.5049998333399898
16,2,5,0.5,0.5
16,3,0,0.45732181250879583,0.5426781874912041
16,3,1,0.5,0.5
16,3,2,0.5,0.5
16,3,4,0.5,0.5
16,3,5,0.49500016666001023,0.5049998333399898
16,4,0,0.4650628487848383,0.5349371512151617
16,4,1,0.4664482599355229,0.5335517400644771
16,4,2,0.4331973241077594,0.5668026758922405
16,4,3,0.5550425014499747,0.44495749855002525
16,4,5,0.5,0.5
16,5,0,0.4650628487848383,0.5349371512151617
16,5,1,0.5,0.5
16,5,2,0.5,0.5
16,5,3,0.5,0.5
16,5,4,0.5013521890286166,0.4986478109713835
17,0,1,0.5,0.5
17,0,2,0.5,0.5
17,0,3,0.4950088100995549,0.5049911899004451
17,0,4,0.5599763120657929,0.44002368793420715
17,0,5,0.5,0.5
17,1,0,0.5,0.5
17,1,2,0.4650628487848383,0.5349371512151617
17,1,3,0.5,0.5
17,1,4,0.5,0.5
17,1,5,0.5,0.5
17,2,0,0.5,0.5
17,2,1,0.5,0.5
17,2,3,0.49500016666001023,0.5049998333399898
17,2,4,0.49500016666001023,0.5049998333399898
17,2,5,0.5,0.5
17,3,0,0.45732181250879583,0.5426781874912041
17,3,1,0.5,0.5
17,3,2,0.5,0.5
17,3,4,0.5,0.5
17,3,5,0.49500016666001023,0.5049998333399898
17,4,0,0.4650628487848383,0.5349371512151617
17,4,1,0.4664482599355229,0.5335517400644771
17,4,2,0.4331973241077594,0.5668026758922405
17,4,3,0.5550425014499747,0.44495749855002525
17,4,5,0.5,0.5
17,5,0,0.4650628487848383,0.5349371512151617
17,5,1,0.5,0.5
17,5,2,0.5,0.5
17,5,3,0.5,0.5
17,5,4,0.5013521890286166,0.4986478109713835
18,0,1,0.5,0.5
18,0,2,0.5,0.5
18,0,3,0.4950088100995549,0.5049911899004451
18,0,4,0.5599763120657929,0.44002368793420715
18,0,5,0.5,0.5
18,1,0,0.5,0.5
18,1,2,0.4650628487848383,0.5349371512151617
18,1,3,0.5,0.5
18,1,4,0.5,0.5
18,1,5,0.5,0.5
18,2,0,0.5,0.5
18,2,1,0.5,0.5
18,2,3,0.49500016666001023,0.5049998333399898
18,2,4,0.49500016666001023,0.5049998333399898
18,2,5,0.5,0.5
18,3,0,0.45732181250879583,0.5426781874912041
18,3,1,0.5,0.5
18,3,2,0.5,0.5
18,3,4,0.5,0.5
18,3,5,0.49500016666001023,0.5049998333399898
18,4,0,0.4650628487848383,0.5349371512151617
18,4,1,0.4664482599355229,0.5335517400644771
18,4,2,0.4331973241077594,0.5668026758922405
18,4,3,0.5550425014499747,0.44495749855002525
18,4,5,0.5,0.5
18,5,0,0.4559403443502484,0.5440596556497517
18,5,1,0.5,0.5
18,5,2,0.5,0.5
18,5,3,0.5,0.5
18,5,4,0.5013521890286166,0.4986478109713835
19,0,1,0.5,0.5
19,0,2,0.5,0.5
19,0,3,0.4950088100995549,0.5049911899004451
19,0,4,0.5599763120657929,0.44002368793420715
19,0,5,0.5,0.5
19,1,0,0.5,0.5
19,1,2,0.4650628487848383,0.5349371512151617
19,1,3,0.5,0.5
19,1,4,0.5,0.5
19,1,5,0.5,0.5
19,2,0,0.5,0.5
19,2,1,0.5,0.5
19,2,3,0.49500016666001023,0.5049998333399898
19,2,4,0.5550425014499747,0.44495749855002525
19,2,5,0.5,0.5
19,3,0,0.45732181250879583,0.5426781874912041
19,3,1,0.5,0.5
19,3,2,0.5,0.5
19,3,4,0.5,0.5
19,3,5,0.49500016666001023,0.5049998333399898
19,4,0,0.4650628487848383,0.5349371512151617
19,4,1,0.4664482599355229,0.5335517400644771
19,4,2,0.4331973241077594,0.5668026758922405
19,4,3,0.5550425014499747,0.44495749855002525
19,4,5,0.5,0.5
19,5,0,0.4559403443502484,0.5440596556497517
19,5,1,0.5,0.5
19,5,2,0.5,0.5
19,5,3,0.5,0.5
19,5,4,0.5013521890286166,0.4986478109713835
20,0,1,0.5,0.5
20,0,2,0.5,0.5
20,0,3,0.4950088100995549,0.5049911899004451
20,0,4,0.5599763120657929,0.44002368793420715
20,0,5,0.5,0.5
20,1,0,0.5,0.5
20,1,2,0.4650628487848383,0.5349371512151617
20,1,3,0.5,0.5
20,1,4,0.5,0.5
20,1,5,0.5,0.5
20,2,0,0.5,0.5
20,2,1,0.5,0.5
20,2,3,0.49500016666001023,0.5049998333399898
20,2,4,0.5550425014499747,0.44495749855002525
20,2,5,0.5,0.5
20,3,0,0.43940770892395936,0.5605922910760407
20,3,1,0.5,0.5
20,3,2,0.5,0.5
20,3,4,0.5,0.5
20,3,5,0.49500016666001023,0.5049998333399898
20,4,0,0.4650628487848383,0.5349371512151617
20,4,1,0.4664482599355229,0.5335517400644771
20,4,2,0.4331973241077594,0.5668026758922405
20,4,3,0.5550425014499747,0.44495749855002525
20,4,5,0.5,0.5
20,5,0,0.4559403443502484,0.5440596556497517
20,5,1,0.5,0.5
20,5,2,0.5,0.5
20,5,3,0.5,0.5
20,5,4,0.5013521890286166,0.4986478109713835
21,0,1,0.5,0.5
21,0,2,0.5,0.5
21,0,3,0.4950088100995549,0.5049911899004451
21,0,4,0.5599763120657929,0.44002368793420715
21,0,5,0.5,0.5
21,1,0,0.5,0.5
21,1,2,0.4650628487848383,0.5349371512151617
21,1,3,0.5,0.5
21,1,4,0.5,0.5
21,1,5,0.5,0.5
21,2,0,0.5,0.5
21,2,1,0.48189865837027945,0.5181013416297205
21,2,3,0.49500016666001023,0.5049998333399898
21,2,4,0.5550425014499747,0.44495749855002525
21,2,5,0.5,0.5
21,3,0,0.43940770892395936,0.5605922910760407
21,3,1,0.5,0.5
21,3,2,0.5,0.5
21,3,4,0.5,0.5
21,3,5,0.49500016666001023,0.5049998333399898
21,4,0,0.4650628487848383,0.5349371512151617
21,4,1,0.4664482599355229,0.5335517400644771
21,4,2,0.4331973241077594,0.5668026758922405
21,4,3,0.5550425014499747,0.44495749855002525
21,4,5,0.5,0.5
21,5,0,0.4559403443502484,0.5440596556497517
21,5,1,0.5,0.5
21,5,2,0.5,0.5
21,5,3,0.5,0.5
21,5,4,0.5013521890286166,0.4986478109713835
22,0,1,0.5,0.5
22,0,2,0.5,0.5
22,0,3,0.4950088100995549,0.5049911899004451
22,0,4,0.5599763120657929,0.44002368793420715
22,0,5,0.5,0.5
22,1,0,0.48189865837027945,0.5181013416297205
22,1,2,0.4650628487848383,0.5349371512151617
22,1,3,0.5,0.5
22,1,4,0.5,0.5
22,1,5,0.5,0.5
22,2,0,0.5,0.5
22,2,1,0.48189865837027945,0.5181013416297205
22,2,3,0.49500016666001023,0.5049998333399898
22,2,4,0.5550425014499747,0.44495749855002525
22,2,5,0.5,0.5
22,3,0,0.43940770892395936,0.5605922910760407
22,3,1,0.5,0.5
22,3,2,0.5,0.5
22,3,4,0.5,0.5
22,3,5,0.49500016666001023,0.5049998333399898
22,4,0,0.4650628487848383,0.5349371512151617
22,4,1,0.4664482599355229,0.5335517400644771
22,4,2,0.4331973241077594,0.5668026758922405
22,4,3,0.5550425014499747,0.44495749855002525
22,4,5,0.5,0.5
22,5,0,0.4559403443502484,0.5440596556497517
22,5,1,0.5,0.5
22,5,2,0.5,0.5
22,5,3,0.5,0.5
22,5,4,0.5013521890286166,0.4986478109713835
23,0,1,0.5,0.5
23,0,2,0.5,0.5
23,0,3,0.4950088100995549,0.5049911899004451
23,0,4,0.5599763120657929,0.44002368793420715
23,0,5,0.5,0.5
23,1,0,0.48189865837027945,0.5181013416297205
23,1,2,0.4650628487848383,0.5349371512151617
23,1,3,0.5,0.5
23,1,4,0.5,0.5
23,1,5,0.5,0.5
23,2,0,0.5,0.5
23,2,1,0.48189865837027945,0.5181013416297205
23,2,3,0.49500016666001023,0.5049998333399898
23,2,4,0.5550425014499747,0.44495749855002525
23,2,5,0.5,0.5
23,3,0,0.43940770892395936,0.5605922910760407
23,3,1,0.5,0.5
23,3,2,0.5,0.5
23,3,4,0.5,0.5
23,3,5,0.49500016666001023,0.5049998333399898
23,4,0,0.4650628487848383,0.5349371512151617
23,4,1,0.4664482599355229,0.5335517400644771
23,4,2,0.4331973241077594,0.5668026758922405
23,4,3,0.5550425014499747,0.44495749855002525
23,4,5,0.5,0.5
23,5,0,0.4559403443502484,0.5440596556497517
23,5,1,0.5,0.5
23,5,2,0.48189865837027945,0.5181013416297205
23,5,3,0.5,0.5
23,5,4,0.5013521890286166,0.4986478109713835
24,0,1,0.5,0.5
24,0,2,0.5,0.5
24,0,3,0.4950088100995549,0.5049911899004451
24,0,4,0.5599763120657929,0.44002368793420715
24,0,5,0.5,0.5
24,1,0,0.48189865837027945,0.5181013416297205
24,1,2,0.4650628487848383,0.5349371512151617
24,1,3,0.5,0.5
24,1,4,0.5,0.5
24,1,5,0.5,0.5
24,2,0,0.5,0.5
24,2,1,0.48189865837027945,0.5181013416297205
24,2,3,0.49500016666001023,0.5049998333399898
24,2,4,0.5550425014499747,0.44495749855002525
24,2,5,0.5,0.5
24,3,0,0.43940770892395936,0.5605922910760407
24,3,1,0.5,0.5
24,3,2,0.5,0.5
24,3,4,0.5,0.5
24,3,5,0.49500016666001023,0.5049998333399898
24,4,0,0.4650628487848383,0.5349371512151617
24,4,1,0.4664482599355229,0.5335517400644771
24,4,2,0.4331973241077594,0.5668026758922405
24,4,3,0.565507424583896,0.4344925754161039
24,4,5,0.5,0.5
24,5,0,0.4559403443502484,0.5440596556497517
24,5,1,0.5,0.5
24,5,2,0.48189865837027945,0.5181013416297205
24,5,3,0.5,0.5
24,5,4,0.5013521890286166,0.4986478109713835
25,0,1,0.5,0.5
25,0,2,0.5,0.5
25,0,3,0.4950088100995549,0.5049911899004451
25,0,4,0.5599763120657929,0.44002368793420715
25,0,5,0.5,0.5
25,1,0,0.48189865837027945,0.5181013416297205
25,1,2,0.4650628487848383,0.5349371512151617
25,1,3,0.5,0.5
25,1,4,0.5,0.5
25,1,5,0.5,0.5
25,2,0,0.5,0.5
25,2,1,0.48189865837027945,0.5181013416297205
25,2,3,0.49500016666001023,0.5049998333399898
25,2,4,0.5550425014499747,0.44495749855002525
25,2,5,0.5,0.5
25,3,0,0.43940770892395936,0.5605922910760407
25,3,1,0.5,0.5
25,3,2,0.5,0.5
25,3,4,0.5,0.5
25,3,5,0.526613970591399,0.473386029408601
25,4,0,0.4650628487848383,0.5349371512151617
25,4,1,0.4664482599355229,0.5335517400644771
25,4,2,0.4331973241077594,0.5668026758922405
25,4,3,0.565507424583896,0.4344925754161039
25,4,5,0.5,0.5
25,5,0,0.4559403443502484,0.5440596556497517
25,5,1,0.5,0.5
25,5,2,0.48189865837027945,0.5181013416297205
25,5,3,0.5,0.5
25,5,4,0.5013521890286166,0.4986478109713835
26,0,1,0.5,0.5
26,0,2,0.5,0.5
26,0,3,0.4950088100995549,0.5049911899004451
26,0,4,0.5599763120657929,0.44002368793420715
26,0,5,0.5,0.5
26,1,0,0.48189865837027945,0.5181013416297205
26,1,2,0.4650628487848383,0.5349371512151617
26,1,3,0.5,0.5
26,1,4,0.5,0.5
26,1,5,0.5,0.5
26,2,0,0.5,0.5
26,2,1,0.48189865837027945,0.5181013416297205
26,2,3,0.526613970591399,0.473386029408601
26,2,4,0.5550425014499747,0.44495749855002525
26,2,5,0.5,0.5
26,3,0,0.43940770892395936,0.5605922910760407
26,3,1,0.5,0.5
26,3,2,0.5,0.5
26,3,4,0.5,0.5
26,3,5,0.526613970591399,0.473386029408601
26,4,0,0.4650628487848383,0.5349371512151617
26,4,1,0.4664482599355229,0.5335517400644771
26,4,2,0.4331973241077594,0.5668026758922405
26,4,3,0.565507424583896,0.4344925754161039
26,4,5,0.5,0.5
